steam_link,name,link,version,mod_image
https://thunderstore.io/c/cities-skylines-ii/p/algernon/Line_Tool_Lite/,Line Tool Lite,https://github.com/algernon-A/LineToolLite,1.3.3,https://gcdn.thunderstore.io/live/repository/icons/algernon-Line_Tool_Lite-1.3.3.png.256x256_q95.jpg
https://thunderstore.io/c/cities-skylines-ii/p/Nyoko/Preserve_Photo_Mode/,Preserve Photo Mode,https://github.com/NyokoDev/PhotoModePreserve,1.0,https://gcdn.thunderstore.io/live/repository/icons/Nyoko-Preserve_Photo_Mode-1.0.0.png.128x128_q95.jpg
https://thunderstore.io/c/cities-skylines-ii/p/Nyoko/Performance_Squeezer/,Performance Squeezer,https://thunderstore.io/c/cities-skylines-ii/p/Nyoko/Performance_Squeezer/,1.0,https://gcdn.thunderstore.io/live/repository/icons/Nyoko-Performance_Squeezer-1.1.0.png.256x256_q95_crop.jpg
https://thunderstore.io/c/cities-skylines-ii/p/Nyoko/STCC_ShortTermCompatibilityChecker,STCC,https://thunderstore.io/c/cities-skylines-ii/p/Nyoko/STCC_ShortTermCompatibilityChecker/,1.6.0,https://gcdn.thunderstore.io/live/repository/icons/Nyoko-STCC_ShortTermCompatibilityChecker-1.6.0.png.128x128_q95.jpg
